	MLH3_expression
TCGA-HT-A74H-01	3.6462891938684887
TCGA-HT-7680-01	3.617225498332788
TCGA-DB-A4X9-01	4.167096049880016
TCGA-TQ-A7RI-01	2.2282243443371383
TCGA-TM-A7CA-01	2.028868937544454
TCGA-QH-A86X-01	1.7568500122899338
TCGA-DU-A76R-01	3.019048033419652
TCGA-DH-5144-01	4.031401140939068
TCGA-E1-A7Z2-01	2.840999433490853
TCGA-FG-8187-01	4.091991707373312
TCGA-E1-5304-01	3.673218271356858
TCGA-DU-5871-01	2.958556631891932
TCGA-DH-5140-01	3.6577368342090697
TCGA-TM-A7CF-01	2.8806763431478846
TCGA-TM-A7CF-02	4.0094067789736005
TCGA-S9-A6U2-01	3.128058857659449
TCGA-DH-A7US-01	4.185064681449679
TCGA-HT-A61B-01	3.963824303972426
TCGA-E1-A7Z6-01	4.049711167283279
TCGA-DU-A5TS-01	4.097428553767418
TCGA-DU-6392-01	3.782430680640761
TCGA-QH-A6CU-01	4.023991719060638
TCGA-DU-6404-01	3.707147121219312
TCGA-VW-A8FI-01	4.001735185280452
TCGA-HT-A74L-01	3.9269065166090287
TCGA-P5-A5EU-01	4.105165382564504
TCGA-P5-A5EZ-01	2.6839683867533184
TCGA-S9-A89Z-01	3.346501612822302
TCGA-FG-5963-01	3.461211203247584
TCGA-FG-5963-02	3.6456521244427385
TCGA-HT-A61A-01	3.848064137446024
TCGA-S9-A89V-01	4.505860817028559
TCGA-DB-A64W-01	4.141372598080243
TCGA-FG-A4MX-01	3.5353600993842726
TCGA-P5-A72Z-01	4.590583351336918
TCGA-HT-8114-01	3.6241845903007204
TCGA-HT-7881-01	4.2833503135678015
TCGA-CS-4944-01	2.371088244413072
TCGA-QH-A65V-01	3.880557447280928
TCGA-S9-A7QX-01	3.1914492428950667
TCGA-HW-7495-01	4.198433014464661
TCGA-QH-A65R-01	1.4031996239081903
TCGA-DU-5874-01	4.768660920629369
TCGA-R8-A6MO-01	4.48547618340835
TCGA-TQ-A8XE-02	3.3686200715328165
